seg_id,rule_label,llm_label,actor,action,object
S040,1,0,,,
S041,1,1,시스템,"제공하다, 제한하다","로그인 방법(2가지), 공인인증서 인증"
S042,0,1,사용자,다운로드,검색조건에 해당하는 목록을 엑셀 파일로
S043,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S044,1,1,제안사,준비,시스템 개발·테스트·사업관리·품질관리에 필요한 H/W·S/W 등 일체
S045,0,1,시스템,표시,"검색결과 항목(선택, 연번, 계좌확인일, 수령인, 공통번호, 은행명, 계좌번호, 예금주, 담당자, 불일치사유)"
S046,1,1,센터 담당자,확인,전산도움말 등록기능
S047,0,1,유지운영팀,유지운영 실시,진료시스템(의사)
S048,0,0,,,
S049,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S050,1,1,시스템,조회 기능 구현,심사위원회 연혁 및 기능
S051,0,0,,,
S052,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S053,0,1,시스템,호환성 검증 및 템플릿 생성,"전자정부 표준 프레임워크 개발환경, 실행환경"
S054,1,1,시스템,제한,ID/PWD 로그인 사용자의 페이지 사용 기능
S055,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S056,1,1,센터 담당자,확인,전산도움말 등록기능
S057,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S058,1,1,연계서버,전달,사전에 정해진 데이터 형식
S059,1,1,시스템,출력,조회 화면 내용
S060,0,1,사용자,클릭하여 이동,접수 버튼 → 접수 탭
S061,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S062,0,1,시스템,제공,"검색결과 항목(연번, 전자납부번호, 가상계좌번호, 공통필드, 공통필드명, 사업종류, 분기, 징수코드, 최초징수결정일자, 징수결정일자, 납부고지금액, 한국은행영수금액, 한국은행영수일자, 수납상태)"
S063,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S064,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S065,1,1,시스템,출력,조회 화면 내용
S066,1,1,정보시스템,준수하다,표준기술
S067,1,0,,,
S068,0,1,시스템,표시 및 수정,실업급여수급사항
S069,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S070,0,1,시스템,표시,"검색결과 항목(연번, 회수일자, 납부자명, 공통번호, 납부액, 세입금액, 기관코드, 지원금종류, 세입처리일)"
S071,1,1,시스템,출력,조회 화면 내용
S072,1,1,센터 담당자,확인,전산도움말 등록기능
S073,0,0,,,
S074,0,1,사용자,클릭,사업장관리번호
S075,1,1,사업자,제시,DB 통합 및 연계 방안
S076,0,1,사용자,조회,사회보험료지원 대상 사업장
S077,0,1,시스템,출력,담당자변경 및 반환통지서
S078,1,1,제안사,추가 제안 진행,현 시스템 운영·유지운영에 지장을 주지 않고 추가 비용 부담
S079,0,1,시스템,제공,검색 내역에 대한 RD 출력 기능
S080,0,1,시스템,정렬,검색결과
S081,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S082,0,1,시스템,이동 및 검색하여 표시,신청서 등록 탭 및 결과
S083,0,1,시스템,구축,대국민 페이지와 인사기본정보 연동 체계(보안대책 준수)
S084,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S085,0,1,시스템,구축,온라인 서비스 체계
S086,0,0,,,
S087,0,1,시스템,표시,"검색 결과 항목(연번, 접수번호, 신고인, 사업장관리번호, 기업구분, 사업장명, 신고일자, 지원금종류, 계획신고내역, 해당월, 대상인원, 고용유지조치기간, 고용유지조치사유, 처리상태, 신고구분)"
S088,0,1,시스템,제공,접수 및 반송처리 기능(전체반송 시 전체반송사유 입력)
S089,0,1,시스템,제공,각 이력별 조회 기능
S090,1,1,시스템,출력,조회 화면 내용
S091,0,1,수급자,신청,특별연장급여
S092,1,1,시스템,구현,"지급결정취소, 목록출력 기능"
S093,0,1,시스템 사용자,유기 금지 및 이면지 활용 금지,정책ㆍ현안자료
S094,0,0,,,
S095,0,0,,,
S096,1,1,시스템,집계,"압류여부, 재산종류, 재산내역"
S097,0,1,시스템,선택 시 사유 입력 상자 활성화,보완/반려 사유 입력 상자
S098,1,1,정보시스템,준수하다,표준기술
S099,0,1,시스템,검증,이관데이터
S100,0,1,시스템,정렬,검색결과
S101,1,1,홈페이지,준수하여 구축,웹취약점 및 웹접근성
S102,1,1,시스템,제공,사용자 매뉴얼
S103,0,1,시스템,구현,"징수급대장조회, 일용근로내역, 예약시간확인 조회기능"
S104,0,1,시스템,조회 및 확인/정정 처리,오류사항이 존재하는 피보험자
S105,0,1,시스템,정렬,검색결과
S106,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S107,0,1,사용자,검색,"지원금 정보(지원금종류, 신청년월, 회차, 분기, 사업장관리번호, 추가결정일자)"
S108,0,1,시스템,선택 후 입력한 대상자의 정보를 확인,"신고구분(인정, 심사 등 급여 연장)"
S109,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S110,1,1,시스템,구성,재고자산 관리자 및 사용자 중심의 시스템
S111,0,0,,,
S112,0,1,시스템,정렬,검색결과
S113,1,1,시스템,출력,조회 화면 내용
S114,0,0,,,
S115,0,1,시스템,조회,기관별 수급자격자
S116,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S117,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S118,0,0,,,
S119,1,1,시스템,출력,조회 화면 내용
S120,0,1,사용자,다운로드,검색조건 해당 목록(엑셀)
S121,1,1,센터 담당자,확인,전산도움말 등록기능
S122,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S123,0,1,시스템,관리,사업장징수 체납관리현황 압류해제대상
S124,1,1,시스템,출력,조회 화면 내용
S125,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S126,0,1,담당자,요청사항 추가,메뉴
S127,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S128,0,1,사용자,클릭,취득신고일자
S129,0,1,담당자,요청사항 추가,메뉴
S130,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S131,1,0,,,
S132,0,0,,,
S133,0,0,,,
S134,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S135,0,1,시스템,제공,"검색조건(업무구분, 제목, 작성자, 내용)"
S136,1,1,시스템,출력,독촉/납부고지서 및 독촉장발부대장
S137,0,0,,,
S138,0,0,,,
S139,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S140,1,1,시스템,"등록, 수정, 삭제, 회수/반려, 결재취소, 반환통지서 출력",데이터
S141,0,1,시스템,표시,"검색결과 항목(접수번호, 사업장관리번호, 사업장명, 하수급인관리번호, 주민등록번호, 성명, 신청경로, 취득일/상실일, 신고일)"
S142,0,0,,,
S143,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S144,1,1,로그인한 사용자,등록/수정/삭제/검색,본인의 정보
S145,0,0,,,
S146,0,1,시스템,등록,"프린터 기종, 드라이버명, 드라이버 다운로드 사이트 url"
S147,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S148,1,0,,,
S149,1,1,시스템,출력,조회 화면 내용
S150,1,1,사용자,검색,고용보험판례
S151,0,1,시스템,등록,"기지급결정일, 회수일자, 회수횟수, 회수사유, 회수금액, 회수기간, 회수확인여부, 회수확인결정일자"
S152,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S153,0,1,시스템,등록,"관련사업장 현황, 신규 채용 대상자 명부, 지원금 신청액, 지역고용촉진장려금 대상자"
S154,0,0,,,
S155,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S156,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S157,1,0,,,
S158,1,1,시스템,준수,전자정부 표준 프레임워크
S159,1,1,계약상대자,교육 지원,운영자 및 관리자
S160,1,1,시스템,구현,각 통계의 엑셀 다운로드 및 출력 기능
S161,0,0,,,
S162,0,0,,,
S163,0,1,시스템,등록/관리,"사업장 정보, 관련사업장 정보, 공동참여 사업주 현황, 근로자 정보, 신청요건 정보, 신청정보, 처리정보"
S164,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S165,0,0,,,
S166,1,0,,,
S167,1,1,주사업자,보완하다,제안내용 규격미달 문제
S168,0,1,사용자,검색,지원금 신고서
S169,1,1,시스템,출력,조회 화면 내용
S170,0,1,시스템,관리하고 개선,처방조회
S171,0,1,시스템,정렬,검색결과
S172,0,1,화면,구현,한국은행 수납정보 조회화면
S173,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S174,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S175,0,1,사용자,다운로드,검색조건에 해당하는 목록을 엑셀 파일로
S176,0,0,,,
S177,0,0,,,
S178,0,1,시스템,구현,공통필드 수정 및 선탭수납등록 기능
S179,1,1,시스템,"접수, 수정, 삭제, 서식 출력",신청서 내역
S180,0,1,시스템,표시,"검색결과 항목(사업장명, 관할센터, 대표자, 주민등록번호, 명칭, 사업자등록번호, 전화번호, 사업장관리번호, 소재지)"
S181,1,0,,,
S182,0,1,사용자,다운로드,검색조건에 해당하는 목록을 엑셀 파일로
S183,1,1,시스템,구현,"기업규모 이력조회, 업종변경 이력조회, 피보험자수 조회 기능"
S184,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S185,0,1,시스템,추가,부정수급 사전/사후 및 기타 체크기능
S186,0,1,사용자,다운로드,검색조건 해당 목록(엑셀)
S187,1,1,센터 담당자,확인,전산도움말 등록기능
S188,1,1,센터 담당자,확인,전산도움말 등록기능
S189,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S190,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S191,1,1,시스템,조회,과거연대정보
S192,1,1,시스템,제공,동일 검색조건 유지 기능
S193,0,1,시스템,금지,PC 하드디스크 비공개 정보 보관 및 패스워드 미부여
S194,1,1,시스템,이전 회차 정보를 이용하여 등록,보육아동 현황
S195,0,1,시스템,지원,무선용 기반환경 Java
S196,1,1,시스템,출력,조회 화면 내용
S197,0,0,,,
S198,0,1,시스템,관리,피보험기간별 연령별 수급자격신청
S199,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S200,0,0,,,
