seg_id,rule_label,llm_label,actor,action,object
S055,1,1,사용자,선택할 수 있어야 한다,조회되는 개수
S056,1,1,센터 담당자,확인할 수 있다,전산도움말 등록기능
S057,1,1,사용자,선택할 수 있어야 한다,조회되는 개수
S058,1,1,시스템,전달,사전에 정해진 데이터 형식
S059,1,1,시스템,제공해야 한다,화면 내용 그대로 출력하는 기능
S060,0,1,사용자,이동한다,접수 탭
S061,1,1,,선택할 수 있어야 한다,조회시 조회되는 개수
S062,0,1,시스템,제공,검색결과 항목
S063,1,1,사용자,선택할 수 있어야 한다,조회되는 개수
S064,1,1,사용자,관리,등록/조회 기능
S065,1,1,시스템,제공해야 한다,화면 내용 그대로 출력하는 기능
S066,1,1,정보시스템,준수하여야 한다,표준기술
S067,1,0,,,
S068,0,1,시스템,표시 및 수정,실업급여 수급 사항
S069,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S070,0,1,시스템,제공해야 한다,"검색결과 항목 : 연번, 회수일자, 납부자명, 공통번호, 납부액, 세입금액, 기관코드, 지원금종류, 세입처리일"
S071,1,1,시스템,제공해야 한다,조회하는 화면에 대하여 화면 내용 그대로 출력하는 기능
S072,1,1,센터 담당자,확인할 수 있어야 한다,전산도움말 등록기능
S073,0,1,시스템,계산한다,신규고용인원을 누적하여
S074,0,1,사용자,클릭하면,사업장관리번호
S075,1,0,,,
S076,0,1,피보험자,조회,사회보험료지원 대상 사업장
S077,0,1,시스템,구현해야 한다,담당자변경 및 반환통지서 출력 기능
S078,1,0,,,
S079,0,1,시스템,제공되어야 한다,RD 출력 기능
S080,0,1,시스템,정렬,검색결과 타이틀
S081,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S082,0,1,시스템,이동하며 검색되어 표시되어야 한다,신청서 등록 탭 및 결과
S083,0,1,체계,구축되어야 함,대국민 페이지와 연동될 수 있는 인사기본정보
S084,1,1,사용자,선택할 수 있어야 한다,조회되는 개수
S085,0,1,시스템,구축,온라인 서비스 체계
S086,0,0,,,
S087,0,1,시스템,검색 후 제공,"연번, 접수번호(접수일자), 신고인, 사업장관리번호, 기업구분, 사업장명, 신고일자, 지원금종류, 계획신고내역, 해당월, 대상인원, 고용유지조치기간, 고용유지조치사유, 처리상태, 신고구분 3"
S088,0,1,시스템,제공,접수 및 반송처리 기능(전체반송 시 전체반송사유 입력)
S089,0,1,시스템,제공되어야 한다,각 이력별 조회 기능
S090,1,1,시스템,제공해야 한다,화면 내용 그대로 출력하는 기능
S091,0,1,수급자,신청하는,특별연장급여
S092,1,1,,구현해야 한다,"지급결정취소, 목록출력 기능"
S093,0,0,,,
S094,0,0,,,
S095,0,0,,,
S096,1,1,시스템,구현해야 한다,"입력된 압류여부, 재산종류, 재산내역을 현황 통계의 실적으로 집계"
S097,0,1,시스템,활성화,사유 입력 상자
S098,1,1,정보시스템,준수하여야 하고,표준기술
S099,0,1,시스템,업로드 및 검증,이관데이터 및 DB
S100,0,1,시스템,구현,검색결과 타이틀에 소팅기능
S101,1,1,시스템,구축,홈페이지
S102,1,1,사용자 매뉴얼,포함해야 함,각 사용자들이 사용할 수 있는 기능과 다음 정보를
S103,0,1,,구현,"징수급대장조회, 일용근로내역, 예약시간확인 조회기능"
S104,0,1,시스템,조회 및 확인/정정 처리,오류사항이 존재하는 피보험자
S105,0,1,시스템,구현되어 있어야 한다,검색결과 타이틀에 소팅기능
S106,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S107,0,1,시스템,검색,"조건: 지원금종류, 신청년월, 회차, 분기, 사업장관리번호, 추가결정일자"
S108,0,1,시스템,확인,입력한 대상자의 정보
S109,1,1,사용자,관리,등록/조회 기능
S110,1,0,,,
S111,0,0,,,
S112,0,1,시스템,구현되어 있어야 하며,검색결과 타이틀에 소팅기능
S113,1,1,시스템,제공해야 한다,화면 내용 그대로 출력하는 기능
S114,0,1,시스템,보안조치,전자적으로 기록된 자료
S115,0,1,시스템,조회,기관별 수급자격자
S116,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S117,1,1,사용자,선택할 수 있어야 한다,조회되는 개수
S118,0,0,,,
S119,1,1,시스템,출력,화면 내용
S120,0,1,사용자,다운로드 받을 수 있어야 한다,검색조건에 해당하는 내용
S121,1,1,센터 담당자,확인할 수 있어야 한다,전산도움말 등록기능
S122,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S123,0,0,,,
S124,1,1,시스템,제공해야 한다,화면 내용 그대로 출력하는 기능
S125,1,1,사용자,선택할 수 있어야 한다,조회되는 개수
S126,0,0,,,
S127,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S128,0,1,시스템,조회,해당 취득신고서
S129,0,0,,,
S130,1,1,사용자,선택할 수 있어야 한다,조회되는 개수
S131,1,0,,,
S132,0,0,,,
S133,0,0,,,
S134,1,1,사용자,관리,등록/조회 기능
S135,0,1,시스템,검색,"조건: 업무구분, 제목, 작성자, 내용"
S136,1,1,시스템,출력할 수 있는 기능을 구현해야 한다,독촉/납부고지서 및 독촉장발부대장
S137,0,0,,,
S138,0,0,,,
S139,1,1,사용자,관리,등록/조회 기능
S140,1,1,,구현해야 한다,"등록, 수정, 삭제, 회수/반려, 결재취소, 반환통지서 출력 기능"
S141,0,1,시스템,제공해야 한다,"검색결과 항목: 접수번호, 사업장관리번호, 사업장명, 하수급인관리번호, 주민등록번호, 성명, 신청경로, 취득일/상실일, 신고일"
S142,0,0,,,
S143,1,1,사용자,관리 가능해야 한다,등록/조회 기능
S144,1,1,시스템,구현해야 한다,본인의 정보만 등록/수정/삭제/검색이 가능하도록 기능
S145,0,0,,,
S146,0,0,,,
S147,1,1,사용자,선택할 수 있다,조회되는 개수
S148,1,0,,,
S149,1,1,시스템,제공해야 한다,화면 내용 그대로 출력하는 기능
S150,1,1,시스템,구현해야 한다,고용보험 심사위원회의 판례를 조회할 수 있도록 대법원의 판례검색 사이트와 연결하여 검색할 수 있도록 기능
S151,0,1,,등록,"항목: 기지급결정일, 회수일자, 회수횟수, 회수사유, 회수금액, 회수기간, 회수확인여부, 회수확인결정일자"
S152,1,1,사용자,선택할 수 있어야 한다,조회시 조회되는 개수
S153,0,0,,,
S154,0,0,,,
S155,1,1,사용자,선택할 수 있다,조회되는 개수
S156,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S157,1,0,,,
S158,1,1,시스템,준수,전자정부 표준 프레임워크
S159,1,1,계약상대자,지원하여야 한다,운영자 및 관리자 교육
S160,1,1,시스템,구현해야 한다,엑셀 다운로드 및 출력 기능
S161,0,0,,,
S162,0,0,,,
S163,0,1,시스템,등록해야 한다,"사업장 정보, 관련사업장 정보, 공동참여 사업주 현황, 근로자 정보, 신청요건 정보, 신청정보, 처리정보"
S164,1,1,사용자,관리,등록/조회 기능
S165,0,0,,,
S166,1,0,,,
S167,1,0,,,
S168,0,1,시스템,검색,"조건: 지원금종류, 사업장관리번호, 신고서 접수일자, 담당자, 작업구분 2"
S169,1,1,시스템,제공해야 한다,화면 내용 그대로 출력하는 기능
S170,0,1,시스템,개선하다,"처방조회 관리와 조회방법, 속도"
S171,0,1,시스템,구현,검색결과 타이틀에 소팅기능
S172,0,1,시스템,구현한다,단순 조회화면
S173,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S174,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S175,0,1,시스템,다운로드 받을 수 있어야 한다,해당 검색조건에 해당하는 내용을 엑셀로
S176,0,0,,,
S177,0,0,,,
S178,0,1,,구현되어야 한다,공통필드 수정 및 선탭수납등록 기능
S179,1,1,시스템,구현해야 한다,"신청서 내역에 대한 접수, 수정, 삭제, 서식 출력 기능"
S180,0,1,시스템,제공해야 한다,"검색결과 항목: 사업장명, 관할센터, 대표자, 주민등록번호, 명칭, 사업자등록번호, 전화번호, 사업장관리번호, 소재지 등"
S181,1,0,,,
S182,0,1,시스템,다운로드 받을 수 있어야 한다,해당 검색조건에 해당하는 내용을 엑셀로
S183,1,1,시스템,구현해야 한다,"기업규모 이력조회 및 업종변경 이력조회, 피보험자수 조회 기능"
S184,1,1,사용자,관리,등록/조회 기능
S185,0,1,시스템,추가하다,부정수급 사전/사후 및 기타 체크기능
S186,0,1,사용자,다운로드 받을 수 있어야 한다,해당 검색조건에 해당하는 내용을 엑셀로
S187,1,1,센터 담당자,확인하다,전산도움말 등록기능
S188,1,1,센터 담당자,확인하다,전산도움말 등록기능
S189,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S190,1,1,시스템,관리 가능해야 한다,등록/조회 기능
S191,1,1,시스템,구현해야 한다,과거연대정보 조회 기능
S192,1,1,시스템,제공하여야 한다,동일 검색조건으로 검색되는 기능
S193,0,0,,,
S194,1,1,시스템,구현해야 한다,보육아동 현황 등록 시 이전 회차의 정보를 이용하여 등록하기 기능
S195,0,0,,,
S196,1,1,시스템,제공해야 한다,화면 내용 그대로 출력하는 기능
S197,0,0,,,
S198,0,0,,,
S199,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S200,0,0,,,
